LINE_KEY,LAYER1_MATERIAL_NAME,LAYER1_COMPOSED_PERCENTAGE,LAYER2_MATERIAL_NAME,LAYER2_COMPOSED_PERCENTAGE,RAW_MATERIAL_NAME,RAW_MATERIAL_NAME_CLEAN,RAW_MATERIAL_COMPOSED_PERCENTAGE,EMISSION_FACTOR,UNIT,PERCENTAGE_TOTAL_CONTRIBUTION,PART,CLIENT_NAME,CLIENT_GROUP,DESCRIPTION,YEAR
2881_1657098702071_57227,,,,,polyester,Polyester plastic,0.99,4.685,kgCO2e/kg,0.99,null,NEWORCH,Group - Orchestra,ALONDRE-AX HIGH SOCK,2022
3554_1643193209957_14297,,,,,cotton,Cotton fabric,0.95,8.177,kgCO2e/kg,0.95,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS133 / ADCW20CHBAS,2022
2900_1648879656736_84591,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.0035741109216657105,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX ROUTINE EDELWEISS XM22 A0X

Container: 140gsm Woodfree paper + 120gsm kraft paper + 1.5mm greyboard +  Jute ribbon
Fitment: 250gsm CCNB + corrugated board
(FSC MIX CREDIT)",2022
2900_1643104781311_78541,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,"Shopping Bag Medium

Bag: 120gsm FSC White Kraft paper + 350gsm Greyback for bottom card & inside of turn tops + 5 x 380mm Black paper twisted handle
(FSC MIX CREDIT)",2022
2881_1657188300044_12490,,,,,polyester,Polyester plastic,0.99,4.685,kgCO2e/kg,0.99,null,NEWORCH,Group - Orchestra,FREDDY-AX HIGH SOCK,2022
3554_1645598496341_16172,,,,,iron,Iron,0.55,2.366,kgCO2e/kg,0.55,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY309 / ACCS22STNEW,2022
3554_1664506532033_98054,,,,,iron,Iron,0.4,2.366,kgCO2e/kg,0.4,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZN335 / ICCS23CRFLE
with 7.5%rebate",2022
3554_1644915080055_85913,,,,,polyester,Polyester plastic,0.53,4.685,kgCO2e/kg,0.53,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL791 / ADLW20ECOOL,2022
3554_1655090215455_12742,,,,,polyester,Polyester plastic,0.45,4.685,kgCO2e/kg,0.45,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS153 / ADCW20STGLI,2022
3006_1664180938887_17179,,,,,paper,Paper,null,0.578,kgCO2e/kg,0.011550476473553279,null,Okaidi France SAS,Group - Okaidi,1hairband in one set,2022
3554_1651029985130_81361,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.021512914590690168,null,NWBEEZ ltd,Group - Sergent Major,PYAJOSERR2,2022
2881_1653489803630_63891,,,,,polyester,Polyester plastic,0.28,4.685,kgCO2e/kg,0.28,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,"45915.1 Delight Reindeer Socks with FSC box 350gsm (FSC MIX CREDIT), 185 x 100 x 50 + 54mm flap and FSC care tag 70gsm (FSC MIX CREDIT), 37x100mm",2022
3554_1641800348493_13376,,,,,polyester,Polyester plastic,0.4,4.685,kgCO2e/kg,0.4000000000000001,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YW427 / ACCS22CRCER,2022
4475_1642160569799_76803,,,,,zinc alloy,Zinc,null,2.486,kgCO2e/kg,0.2737139799740121,null,Oriflame Cosmetics Global S.A.,Group - Oriflame,"Facial Cryo Roller 
with FSC  box Mix 300gsm ,3C print ,9g
 FSC leaflet with 1C print ,1g",2022
2881_1642578735510_95925,,,,,polyester,Polyester plastic,0.95,4.685,kgCO2e/kg,0.95,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,PYIGOBON 22WI09F3BON050,2022
2881_1645002202351_95903,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Lining,NEWORCH,Group - Orchestra,HOCHET-AX HATS/SCARF,2022
2900_1637660203227_83571,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,"Ribbon Sakura Small 2022

Ribbon: 100% polyester 39mm GG Ribbon in 277mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)",2022
2881_1646202446006_29661,,,,,polyamide,Nylon/Polyamide (PA) plastic,null,9.645,kgCO2e/kg,0.0964391595218515,null,NEWORCH,Group - Orchestra,MENCLINBIS-AX CAP,2022
4484_1651736367600_45676,,,,,stainless steel,Stainless steel,null,5.15,kgCO2e/kg,0.0007596685082872925,null,GROUPE NOCIBE (C4HK),Group - Nocibe Douglas,279129NOCIBE RECOURBE CILS,2022
3554_1657251031866_67183,,,,,iron,Iron,0.8,2.366,kgCO2e/kg,0.8,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL875 / ADCW20PSTA9,2022
3554_1648894873100_44552,,,,,polyester,Polyester plastic,0.37,4.685,kgCO2e/kg,0.37000000000000005,Elastic without lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
2881_1646800814911_46792,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Lining,NEWORCH,Group - Orchestra,TINNIE-AX HATS/SCARF,2022
3554_1644832854400_84407,,,,,polyester,Polyester plastic,0.96,4.685,kgCO2e/kg,0.96,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY782 / ACLS22CHBIN,2022
3554_1655868248374_2880,,,,,resin,resin,null,3.817383402,kgCO2e/kg,0.00041727917444773843,null,GEMO,Group - Gemo,39REACLE,2022
3554_1663061065186_47059,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZN226 / ICLS23CRBIG-PINKE,2022
3554_1660184173911_30620,,,,,polyester,Polyester plastic,0.45,4.685,kgCO2e/kg,0.45,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"XS153 / ADCW20STGLI-POWDERPINK
with 7.5%rebate",2022
3554_1659600105095_2301,,,,,polyester,Polyester plastic,0.7,4.685,kgCO2e/kg,0.7,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"ZK363 / ICCW22STMOU-BLANC EGG
with 7.5%rebate",2022
3173_1659061919577_3392,,,,,acrylic,Poly(methyl methacrylate) (PMMA) (Acrylic) plastic,1,5.645,kgCO2e/kg,0.2,Body,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,BRACELET,2022
3173_1656302654753_45281,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Shell,Société FIB NC7,Group - Camaieu,chausson boots suedine fourrure,2022
3180_1646885736243_15884,,,,,liquid (essential oil),liquid (essential oil),null,0.953,kgCO2e/kg,0.0668017114081254,null,Avon Cosmetics Ltd,Group - Avon,Winter Spice Fragrance Oil,2022
4804_1641798309145_29650,,,,,silicone,Silicone plastic,1,8.105,kgCO2e/kg,0.05,Other,Rituals Cosmetic Trade B.V.,Group - Rituals,Acora Toothbrush Holder Black,2022
3554_1648894873100_95985,,,,,metallic fibre,Metal,0.07,5.269,kgCO2e/kg,0.07,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
3554_1663127710136_47470,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.02121295272031736,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,FADORINE,2022
2881_1650448761666_92171,,,,,polyester,Polyester plastic,0.25,4.685,kgCO2e/kg,0.25,null,SLG BRANDS LIMITED,Group - SLG,TAKE THE TRAIL BOO001,2022
3554_1667376959134_24904,,,,,metallic fibre,Metal,0.05,5.269,kgCO2e/kg,0.05,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"XS153 / ADCW20STGLI-POWDERPINK
with 7.5%rebate",2022
2881_1654502312819_71836,,,,,cotton,Cotton fabric,1,8.177,kgCO2e/kg,0.5,Front Panel,Rituals Cosmetic Trade B.V.,Group - Rituals,"Vellore Cotton Velvet
Cushion case 50x30cm
Warm Orange",2022
3173_1641455365462_99365,,,,,paper,Paper,null,0.578,kgCO2e/kg,0.004730946042158358,null,NEWORCH,Group - Orchestra,SUNGLASS,2022
3554_1654586612108_55847,,,,,cotton,Cotton fabric,0.35,8.177,kgCO2e/kg,0.35,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZG488 / ICCW22CLLIB,2022
3554_1656407888131_80300,,,,,iron,Iron,0.05,2.366,kgCO2e/kg,0.049999999999999996,Body,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL812 / ADLW201CRAB,2022
3554_1653550048619_93572,,,,,viscose,Viscose/Rayon fabric,null,13.92,kgCO2e/kg,0.0009173379458989092,null,NEWORCH,Group - Orchestra,KELARDE-AV/AFIOF5-JAM-Assorted,2022
3006_1664182684497_15901,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.019263163350912875,null,Okaidi France SAS,Group - Okaidi,1hairband in one set,2022
3554_1660199256199_29437,,,,,metallic fibre,Metal,0.07,5.269,kgCO2e/kg,0.07,Elastic with Lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,"XM789 / ADCW20EFIN9-MARROSEGOL 
set of 20 items
with 3%rebate",2022
3006_1645085015713_29562,,,,,cotton,Cotton fabric,0.4,8.177,kgCO2e/kg,0.4,null,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,2elastics in one set,2022
3554_1666858522900_45058,,,,,glass,Glass,null,1.01,kgCO2e/kg,0.012532843001243545,null,NWBEEZ ltd,Group - Sergent Major,"RYAJOCLIC1
Hair clip with 3%rebate",2022
3554_1643283230932_96837,,,,,linen,Flax fiber fabric,0.35,11.18,kgCO2e/kg,0.35,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,YY771 / ACLS22STLIN,2022
2870_1641368009197_639,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.17370909127488213,null,Parfumco ( Thailand) Co. Ltd,Group - Sisley,Pouch 12,2022
3554_1653624410057_43796,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.021512914590690168,null,NEWORCH,Group - Orchestra,AMAI-AX/AFIOJX-ROC-Assorted,2022
2895_1641975315044_21237,,,,,viscose,Viscose/Rayon fabric,1,13.92,kgCO2e/kg,null,Body,Rituals Cosmetic Trade B.V.,Group - Rituals,Hammam Kessa Glove,2022
2881_1650354222814_76047,,,,,polyester,Polyester plastic,1,4.685,kgCO2e/kg,1,Body,SLG BRANDS LIMITED,Group - SLG,LUXURY SLEEP MASK BOO001,2022
2881_1644457896904_11974,,,,,cotton,Cotton fabric,1,8.177,kgCO2e/kg,1,Lining,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,22E4BGN1CHA209,2022
2900_1648887802220_58046,,,,,polyester,Polyester plastic,null,4.685,kgCO2e/kg,0.003574110921665711,null,The Body Shop International Limited,Group - The Body Shop,"GC BOX DUO MASK BG XM22 A0X 

Container : 140gsm Uncoated paper + 120gsm Kraft paper + 1.5mm greyboard
 (FSC MIX CREDIT)",2022
4475_1642412107951_13736,,,,,stainless steel,Stainless steel,1,5.15,kgCO2e/kg,0.95,Body,Oriflame Cosmetics Global S.A.,Group - Oriflame,44002.1THE ONE Tweezer,2022
3006_1664180938886_63285,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.019263163350912875,null,Okaidi France SAS,Group - Okaidi,1hairband in one set,2022
2870_1663995919942_81225,,,,,paper,Paper,1,0.578,kgCO2e/kg,1,Body,The Body Shop International Limited,Group - The Body Shop,"GC SLEEVE SMALL ALMOND MILK AR23 A0X

Container: 300gsm FSC Sen Woodfree 
paper ( FSC MIX CREDIT)",2022
2881_1643190357227_78778,,,,,acrylic,Poly(methyl methacrylate) (PMMA) (Acrylic) plastic,0.25,5.645,kgCO2e/kg,0.25,Shell,NEWORCH,Group - Orchestra,MINCLUS-AX CAP,2022
3554_1642575016963_96261,,,,,elastodiene,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.009331063049150032,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,Headband,2022
2870_1660102175849_30575,,,,,polyester,Polyester plastic,0.5,4.685,kgCO2e/kg,0.2,Lining,Oriflame Cosmetics Global S.A.,Group - Oriflame,Hay Pouch Set with Printing Label ( FSC MIX CREDIT),2022
3554_1652254593908_82198,,,,,elastodiene,Elastane/Spandex fabric,0.57,8.775,kgCO2e/kg,0.57,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL792 / ADLW202FINE,2022
3554_1663919303089_4960,,,,,elastodiene,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.009331063049150032,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,FEBLUETTE,2022
2881_1645590244406_40869,,,,,acrylic,Poly(methyl methacrylate) (PMMA) (Acrylic) plastic,1,5.645,kgCO2e/kg,1,Shell,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,22WI02G2CAG705,2022
4804_1664331175010_25569,,,,,glass,Glass,1,1.01,kgCO2e/kg,0.03,Other,Rituals Cosmetic Trade B.V.,Group - Rituals,Advent Christmas Lights,2022
3554_1648695353943_15146,,,,,iron,Iron,0.65,2.366,kgCO2e/kg,0.65,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,ZC836 / ICLW22CLPLI,2022
3554_1655453112002_4260,,,,,elastane,Elastane/Spandex fabric,null,8.775,kgCO2e/kg,0.021512914590690168,null,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,DYOKOLETTE,2022
2881_1650445269985_6170,,,,,polyester,Polyester plastic,0.25,4.685,kgCO2e/kg,0.25,null,SLG BRANDS LIMITED,Group - SLG,TAKE THE TRAIL BOO001,2022
3554_1666344301557_3142,,,,,iron,Iron,null,2.366,kgCO2e/kg,0.016696723326259922,null,NEWORCH,Group - Orchestra,"CONGABIS-AY/AI00A6-ECR-Solid
baby Headband",2022
3554_1652324843307_54373,,,,,polyester,Polyester plastic,0.45,4.685,kgCO2e/kg,0.45,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS153 / ADCW20STGLI,2022
3554_1650871657514_1777,,,,,polyamide,Nylon/Polyamide (PA) plastic,0.51,9.645,kgCO2e/kg,0.51,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XL791 / ADLW20ECOOL,2022
3554_1643194510129_33609,,,,,cotton,Cotton fabric,0.95,8.177,kgCO2e/kg,0.95,null,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XS133 / ADCW20CHBAS,2022
3554_1656039790258_1996,,,,,elastodiene,Elastane/Spandex fabric,0.63,8.775,kgCO2e/kg,0.63,Elastic without lurex thread,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,XM789 / ADCW20EFIN9,2022
3006_1652801367583_90868,,,,,linen,Flax fiber fabric,null,11.18,kgCO2e/kg,0.008085333531487294,null,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,BANDEAU IOLA BBF,2022
